PMID,Abstract,PublishedYear
37975798,"Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease that primarily affects adults, characterized by muscle weakness resulting from the specific death of motor neurons in the spinal cord and brain. The pathogenesis of ALS is associated with the accumulation of mutant superoxide dismutase 1 (SOD1) proteins and neurofilaments in motor neurons, highlighting the critical need for disease-modifying treatments. Current therapies, such as riluzole and edaravone, provide only symptomatic relief. Recently, tofersen gained approval from the US FDA under the brand name Qalsody as the first and only gene therapy for ALS, addressing a significant pathological aspect of the disease.",2023
37870685,"Amyotrophic Lateral Sclerosis (ALS) is one of the commonest neurodegenerative diseases of adult-onset, which is characterized by the progressive death of motor neurons in the cerebral cortex, brain stem and spinal cord. The dysfunction and death of motor neurons lead to the progressive muscle weakness, atrophy, fasciculations, spasticity and ultimately the whole paralysis of body. Despite the identification of several genetic mutations associated with the pathogenesis of ALS, including mutations in chromosome 9 open reading frame 72 leading to the abnormal expansion of GGGGCC repeat sequence, TAR DNA-binding protein 43, fused in sarcoma/translocated in liposarcoma, copper/zinc superoxide dismutase 1 (SOD1) and TANK-binding kinase 1, the exact mechanisms underlying the specific degeneration of motor neurons that causes ALS remain incompletely understood. At present, since the transgenic model expressed SOD1 mutants was established, multiple in vitro models of ALS have been developed for studying the pathology, pathophysiology and pathogenesis of ALS as well as searching the effective neurotherapeutics. This review reviewed the details of present established in vitro models used in studying the pathology, pathophysiology and pathogenesis of ALS. Meanwhile, we also discussed the advantages, disadvantages, cost and availability of each models.",2023
37768183,"Increased amplitude of persistent inward currents (PICs) is observed in pre-symptomatic genetically modified SOD1 mice models of amyotrophic lateral sclerosis (ALS). However, at the symptomatic stage this reverses and there is a large reduction in PIC amplitude. It remains unclear whether these changes in PICs can be observed in humans, with cross-sectional studies in humans reporting contradictory findings. In people with ALS, we estimated the PIC contribution to self-sustained firing of motoneurons, using the paired-motor unit analysis to calculate the Δfrequency (ΔF), to compare the weaker and stronger muscles during the course of disease. We hypothesised that, with disease progression, ΔFs would relatively increase in the stronger muscles; and decline in the weaker muscles. Forty-three individuals with ALS were assessed in two occasions on average 17 weeks apart. Tibialis anterior high-density electromyograms were recorded during dorsiflexion (40% of maximal capacity) ramped contractions, followed by clinical tests. ∆F increased from 3.14 (2.57, 3.71) peaks per second (pps) to 3.55 (2.94, 4.17) pps on the stronger muscles (0.41 (0.041, 0.781) pps, standardised difference (d) = 0.287 (0.023, 0.552), P = 0.030). ∆F reduced from 3.38 (95% CI 2.92, 3.84) pps to 2.88 (2.40, 3.36) pps on the weaker muscles (-0.50 (-0.80, -0.21) pps, d = 0.353 (0.138, 0.567), P = 0.001). The ALSFRS-R score reduced 3.9 (2.3, 5.5) points. These data indicate that the contribution of PICs to motoneuron self-sustained firing increases over time in early stages of the disease when there is little weakness before decreasing as the disease progresses and muscle weakness exacerbates, in alignment with the findings from studies using SOD1 mice. KEY POINTS: Research on mouse model of amyotrophic lateral sclerosis (ALS) suggests that the amplitude of persistent inward currents (PICs) is increased in early stages before decreasing as the disease progresses. Cross-sectional studies in humans have reported contradictory findings with both higher and lower PIC contributions to motoneuron self-sustained firing. In this longitudinal (∼17 weeks) study we tracked changes in PIC contribution to motoneuron self-sustained firing, using the ΔF calculation (i.e. onset-offset hysteresis of motor unit pairs), in tibialis anterior muscles with normal strength and with clinical signs of weakness in people with ALS. ΔFs decreased over time in muscles with clinical signs of weakness. The PIC contribution to motoneuron self-sustained firing increases before the onset of muscle weakness, and subsequently decreases when muscle weakness progresses.",2023
37752346,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease that affects motor neurons, causing progressive muscle weakness and respiratory failure. The presence of an expanded hexanucleotide repeat in chromosome 9 open reading frame 72 (C9ORF72) is the most frequent mutation causing familial ALS and frontotemporal dementia (FTD). To determine if suppressing expression of C9ORF72 gene products can reduce toxicity, we designed a set of artificial microRNAs (amiRNA) targeting the human C9ORF72 gene. Here we report that an AAV9-mediated amiRNA significantly suppresses expression of the C9ORF72 mRNA, protein, and toxic dipeptide repeat proteins generated by the expanded repeat in the brain and spinal cord of C9ORF72 transgenic mice.",2023
37566027,"Amyotrophic lateral sclerosis (ALS) is an incurable neurodegenerative disease affecting the upper and lower motor neurons, leading to muscle weakness, motor impairments, disabilities and death. Approximately 5-10% of ALS cases are associated with positive family history (familial ALS or fALS), whilst the remainder are sporadic (sporadic ALS, sALS). At least 50 genes have been identified as causative or risk factors for ALS. Established pathogenic variants include superoxide dismutase type 1 (<i>SOD1</i>), chromosome 9 open reading frame 72 (<i>c9orf72</i>), TAR DNA Binding Protein (<i>TARDBP</i>), and Fused In Sarcoma (<i>FUS</i>); additional ALS-related genes including Charged Multivesicular Body Protein 2B (<i>CHMP2B</i>), Senataxin (<i>SETX</i>), Sequestosome 1 (<i>SQSTM1</i>), TANK Binding Kinase 1 (<i>TBK1</i>) and NIMA Related Kinase 1 (<i>NEK1</i>), have been identified. Mutations in these genes could impair different mechanisms, including vesicle transport, autophagy, and cytoskeletal or mitochondrial functions. So far, there is no effective therapy against ALS. Thus, early diagnosis and disease risk predictions remain one of the best options against ALS symptomologies. Proteomic biomarkers, microRNAs, and extracellular vehicles (EVs) serve as promising tools for disease diagnosis or progression assessment. These markers are relatively easy to obtain from blood or cerebrospinal fluids and can be used to identify potential genetic causative and risk factors even in the preclinical stage before symptoms appear. In addition, antisense oligonucleotides and RNA gene therapies have successfully been employed against other diseases, such as childhood-onset spinal muscular atrophy (SMA), which could also give hope to ALS patients. Therefore, an effective gene and biomarker panel should be generated for potentially ""at risk"" individuals to provide timely interventions and better treatment outcomes for ALS patients as soon as possible.",2023
37565261,"The wobbler mouse is a widely used model system of amyotrophic lateral sclerosis and exhibits progressive neurodegeneration and neuroinflammation in association with skeletal muscle wasting. This study has used wobbler brain preparations for the systematic and mass spectrometric determination of proteome-wide changes. The proteomic characterization of total protein extracts from wobbler specimens was carried out with the help of an Orbitrap mass spectrometer and revealed elevated levels of glia cell marker proteins, i.e., glial fibrillary acidic protein and the actin-binding protein coronin. In contrast, the abundance of the actin-binding protein neurabin and the scaffolding protein named piccolo of the presynaptic cytomatrix were shown to be reduced. The increased abundance of glial fibrillary acidic protein, which is frequently used in neuropathological studies as a marker protein of glial scar formation, was confirmed by immunoblotting. In analogy, the proteomic profiling of the brain from another established murine model of motor neuron disease, the SOD1mouse, also showed increased levels of this intermediate filament protein. This suggests that neurodegenerative processes are associated with astrogliosis in both the wobbler and SOD1 brain.",2023
37185741,"Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease affecting motor neurons in the spinal cord, cerebral cortex, and medulla oblongata. Most patients present a clinical phenotype of classic ALS-with predominant atrophy, muscle weakness, and fasciculations-and survival of 3 to 5 years following diagnosis. In the present review, we performed a literature search to provide an update on the etiology and pathophysiological mechanisms involved in ALS. There are two types of ALS: the familial form with genetic involvement, and the sporadic form with a multifactorial origin. ALS pathophysiology is characterized by involvement of multiple processes, including oxidative stress, glutamate excitotoxicity, and neuroinflammation. Moreover, it is proposed that conditioning risk factors affect ALS development, such as susceptibility to neurodegeneration in motor neurons, the intensity of performed physical activity, and intestinal dysbiosis with involvement of the enteric nervous system, which supports the existing theories of disease generation. To improve patients' prognosis and survival, it is necessary to further deepen our understanding of the etiopathogenesis of ALS.",2023
37133535,"Primary lateral sclerosis (PLS) is a motor neuron disease characterised by loss of the upper motor neurons. Most patients present with slowly progressive spasticity of the legs, which may also spread to the arms or bulbar regions. It is challenging to distinguish between PLS, early-stage amyotrophic lateral sclerosis (ALS) and hereditary spastic paraplegia (HSP). The current diagnostic criteria advise against extensive genetic testing. This recommendation is, however, based on limited data.",2023
37116688,"Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease whose aetiology is unknown. It is characterised by upper and lower motor neuron degeneration. Approximately 90% of cases of ALS are sporadic, whereas the other 10% are familial. Regardless of whether the case is familial o sporadic, patients will develop progressive weakness, muscle atrophy with spasticity, and muscle contractures. Life expectancy of these patients is generally 2 to 5 years after diagnosis.",2023
37020097,"Amyotrophic lateral sclerosis (ALS) is a devastating neurodegenerative disease, characterized by degeneration of upper and lower motor neurons that leads to muscle weakness, paralysis, and death, but the effects of disease-causing mutations on axonal outgrowth of neurons derived from human induced pluripotent stem cells (iPSC)-derived motor neurons (hiPSC-MN) are poorly understood. The use of hiPSC-MN is a promising tool to develop more relevant models for target identification and drug development in ALS research, but questions remain concerning the effects of distinct disease-causing mutations on axon regeneration. Mutations in superoxide dismutase 1 (SOD1) were the first to be discovered in ALS patients. Here, we investigated the effect of the SOD1<sup>A4V</sup> mutation on axonal regeneration of hiPSC-MNs, utilizing compartmentalized microfluidic devices, which are powerful tools for studying hiPSC-MN distal axons. Surprisingly, SOD1<sup>+/A4V</sup> hiPSC-MNs regenerated axons more quickly following axotomy than those expressing the native form of SOD1. Though initial axon regrowth was not significantly different following axotomy, enhanced regeneration was apparent at later time points, indicating an increased rate of outgrowth. This regeneration model could be used to identify factors that enhance the rate of human axon regeneration.",2023
36951214,"Amyotrophic lateral sclerosis (ALS) is characterised by a progressive loss of upper and lower motor neurons leading to muscle weakness and eventually death. Frontotemporal dementia (FTD) presents clinically with significant behavioural decline. Approximately 10% of cases have a known family history, and disease-linked mutations in multiple genes have been identified in FTD and ALS. More recently, ALS and FTD-linked variants have been identified in the CCNF gene, which accounts for an estimated 0.6% to over 3% of familial ALS cases.",2023
36799225,"Amyotrophic lateral sclerosis (ALS) is a devastating motoneuron disease, in which lower motoneurons lose control of skeletal muscles. Degeneration of neuromuscular junctions (NMJs) occurs at the initial stage of ALS. Dipeptide repeat proteins (DPRs) from G4C2 repeat-associated non-ATG (RAN) translation are known to cause C9orf72-associated ALS (C9-ALS). However, DPR inclusion burdens are weakly correlated with neurodegenerative areas in C9-ALS patients, indicating that DPRs may exert cell non-autonomous effects, in addition to the known intracellular pathological mechanisms. Here, we report that poly-GA, the most abundant form of DPR in C9-ALS, is released from cells. Local administration of poly-GA proteins in peripheral synaptic regions causes muscle weakness and impaired neuromuscular transmission <i>in vivo</i>. The NMJ structure cannot be maintained, as evidenced by the fragmentation of postsynaptic acetylcholine receptor (AChR) clusters and distortion of presynaptic nerve terminals. Mechanistic study demonstrated that extracellular poly-GA sequesters soluble Agrin ligands and inhibits Agrin-MuSK signaling. Our findings provide a novel cell non-autonomous mechanism by which poly-GA impairs NMJs in C9-ALS. Thus, targeting NMJs could be an early therapeutic intervention for C9-ALS.",2023
36793789,"Superoxide dismutase-1 is a ubiquitously expressed antioxidant enzyme. Mutations in <i>SOD1</i> can cause amyotrophic lateral sclerosis, probably via a toxic gain-of-function involving protein aggregation and prion-like mechanisms. Recently, homozygosity for loss-of-function mutations in <i>SOD1</i> has been reported in patients presenting with infantile-onset motor neuron disease. We explored the bodily effects of superoxide dismutase-1 enzymatic deficiency in eight children homozygous for the p.C112Wfs*11 truncating mutation. In addition to physical and imaging examinations, we collected blood, urine and skin fibroblast samples. We used a comprehensive panel of clinically established analyses to assess organ function and analysed oxidative stress markers, antioxidant compounds, and the characteristics of the mutant Superoxide dismutase-1. From around 8 months of age, all patients exhibited progressive signs of both upper and lower motor neuron dysfunction, cerebellar, brain stem, and frontal lobe atrophy and elevated plasma neurofilament concentration indicating ongoing axonal damage. The disease progression seemed to slow down over the following years. The p.C112Wfs*11 gene product is unstable, rapidly degraded and no aggregates were found in fibroblast. Most laboratory tests indicated normal organ integrity and only a few modest deviations were found. The patients displayed anaemia with shortened survival of erythrocytes containing decreased levels of reduced glutathione. A variety of other antioxidants and oxidant damage markers were within normal range. In conclusion, non-neuronal organs in humans show a remarkable tolerance to absence of Superoxide dismutase-1 enzymatic activity. The study highlights the enigmatic specific vulnerability of the motor system to both gain-of-function mutations in <i>SOD1</i> and loss of the enzyme as in the here depicted infantile superoxide dismutase-1 deficiency syndrome.",2023
36604770,"This paper presents the first report of amyotrophic lateral sclerosis (ALS) kindred due to the <i>KIF5A</i> p.Arg1007Lys, a splice-altering variant.",2023
36444378,"The symptoms of Amyotrophic Lateral Sclerosis (ALS) include muscle weakness and eventual paralysis. These symptoms result from denervation of the neuromuscular junction (NMJ) and motor neuron cell death in the brain and spinal cord. Due to the ""dying back"" pattern of motor neuron degeneration, protecting NMJs should be a therapeutic priority. Although exercise has the potential to protect against NMJ denervation, its use in ALS has been controversial. Most preclinical studies have focused on aerobic exercise, which report that exercise can be beneficial at moderate intensities. The effects of resistance exercise on NMJ preservation in limb muscles have not been explored.",2022
35439439,"Amyotrophic lateral sclerosis (ALS) is a debilitating neurodegenerative disease characterized by motor neuron degeneration that causes neuromuscular denervation, resulting in muscle weakness and atrophy. Work over the decades using ALS mouse models has revealed that while initial pathology may occur within motor neurons, disease pathology is cell non-autologous. Impairment of the blood-spinal cord barrier (BSCB) occurs before motor neuron frank degeneration; however, precisely when the early pathogenesis of the neurovascular units occurs is not fully understood. Here we examine changes in morphology of neurovascular units, associated gene and protein expression in the lumbar spinal cord of SOD1<sup>G93A</sup>, and wild-type mice and correlate results with previous reports of early pathological events. Using RNA-sequencing and immunolabeling, we also show that both the neurovascular units and the vasculature of the SOD1<sup>G93A</sup> lumbar spinal cord present important modifications throughout the disease. Genes relevant for the neurovascular unit and immune cells were differentially expressed in the SOD1<sup>G93A</sup> ventral lumbar spinal cord compared to wild-type. A reduction in capillary density and tight junction (TJ) with overt BSCB breakdown was observed in the SOD1<sup>G93A</sup> lumbar spinal cord and ultrastructural observation revealed intact TJ. Additionally, thickened basement membrane, increased pericytes, and string vessels were observed. These alterations in neurovascular units and the vasculature are observed prior to reports of initial neuromuscular junction denervation. The identification of early pathogenesis may be critical to develop diagnostic tests and development of novel treatment strategies that target these early events.",2022
35302338,"Neuromuscular disorders are a heterogeneous group of acquired or hereditary conditions that affect striated muscle function. The resulting decrease in muscle strength and motility irreversibly impacts quality of life. In addition to directly affecting skeletal muscle, pathogenesis can also arise from dysfunctional crosstalk between nerves and muscles, and may include cardiac impairment. Muscular weakness is often progressive and paralleled by continuous decline in the ability of skeletal muscle to functionally adapt and regenerate. Normally, the skeletal muscle resident stem cells, named satellite cells, ensure tissue homeostasis by providing myoblasts for growth, maintenance, repair and regeneration. We recently defined 'Satellite Cell-opathies' as those inherited neuromuscular conditions presenting satellite cell dysfunction in muscular dystrophies and myopathies (doi:10.1016/j.yexcr.2021.112906). Here, we expand the portfolio of Satellite Cell-opathies by evaluating the potential impairment of satellite cell function across all 16 categories of neuromuscular disorders, including those with mainly neurogenic and cardiac involvement. We explore the expression dynamics of myopathogenes, genes whose mutation leads to skeletal muscle pathogenesis, using transcriptomic analysis. This revealed that 45% of myopathogenes are differentially expressed during early satellite cell activation (0 - 5 hours). Of these 271 myopathogenes, 83 respond to Pax7, a master regulator of satellite cells. Our analysis suggests possible perturbation of satellite cell function in many neuromuscular disorders across all categories, including those where skeletal muscle pathology is not predominant. This characterisation further aids understanding of pathomechanisms and informs on development of prognostic and diagnostic tools, and ultimately, new therapeutics.",2022
35163674,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease that shows progressive muscle weakness. A few treatments exist including symptomatic therapies, which can prolong survival or reduce a symptom; however, no fundamental therapies have been found. As a therapeutic strategy, enhancing muscle force is important for patients' quality of life. In this study, we focused on skeletal muscle-specific myosin regulatory light chain kinase (skMLCK), which potentially enhances muscle contraction, as overexpression of skMLCK was thought to improve muscle function. The adeno-associated virus serotype 6 encoding skMLCK (AAV6/skMLCK) and eGFP (control) was produced and injected intramuscularly into the lower limbs of SOD1<sup>G37R</sup> mice, which are a familial ALS model. AAV6/skMLCK showed the successful expression of skMLCK in the muscle tissues. Although the control did not affect the muscle force in both of the WT and SOD1<sup>G37R</sup> mice, AAV6/skMLCK enhanced the twitch force of SOD1<sup>G37R</sup> mice and the tetanic force of WT and SOD1<sup>G37R</sup> mice. These results indicate that overexpression of skMLCK can enhance the tetanic force of healthy muscle as well as rescue weakened muscle function. In conclusion, the gene transfer of skMLCK has the potential to be a new therapy for ALS as well as for other neuromuscular diseases.",2022
35080077,"Amyotrophic lateral sclerosis (ALS) is a lethal and incurable neurodegenerative disease due to the loss of upper and lower motor neurons, which leads to muscle weakness, atrophy, and paralysis. Sigma-1 receptor (σ-1R) is a ligand-operated protein that exhibits pro-survival and anti-apoptotic properties. In addition, mutations in its codifying gene are linked to development of juvenile ALS pointing to an important role in ALS. Here, we investigated the disease-modifying effects of pridopidine, a σ-1R agonist, using a delayed onset SOD1 G93A mouse model of ALS. Mice were administered a continuous release of pridopidine (3.0 mg/kg/day) for 4 weeks starting before the appearance of any sign of muscle weakness. Mice were monitored weekly and several behavioural tests were used to evaluate muscle strength, motor coordination and gait patterns. Pridopidine-treated SOD1 G93A mice showed genotype-specific effects with the prevention of cachexia. In addition, these effects exhibited significant improvement of motor behaviour 5 weeks after treatment ended. However, the survival of the animals was not extended. In summary, these results show that pridopidine can modify the disease phenotype of ALS-associated cachexia and motor deficits in a SOD1 G93A mouse model.",2022
